"","Index 1","Dates 1","Length","AR Match"
"1","69","1985-02-07","2","AR Present"
"2","116","1985-03-26","1","AR Present"
"3","172","1985-10-21","1","AR Present"
"4","192","1985-11-10","1","AR +1 day"
"5","206","1985-11-24","2","AR Present"
"6","210","1985-11-28","2","AR Present"
"7","213","1985-12-01","2","AR Present"
"8","259","1986-01-16","2","AR Present"
"9","273","1986-01-30","3","AR Present"
"10","287","1986-02-13","8","AR Present"
"11","309","1986-03-07","2","AR Present"
"12","312","1986-03-10","1","AR Present"
"13","317","1986-03-15","2","No AR"
"14","341","1986-04-08","1","No AR"
"15","458","1987-01-03","1","AR Present"
"16","483","1987-01-28","1","AR -1 day"
"17","498","1987-02-12","2","AR Present"
"18","519","1987-03-05","1","AR Present"
"19","526","1987-03-12","2","AR Present"
"20","637","1987-12-01","2","AR Present"
"21","642","1987-12-06","1","AR Present"
"22","645","1987-12-09","1","AR Present"
"23","670","1988-01-03","2","AR Present"
"24","682","1988-01-15","1","AR Present"
"25","778","1988-04-20","2","AR Present"
"26","822","1988-11-03","1","AR Present"
"27","841","1988-11-22","2","AR Present"
"28","873","1988-12-24","1","AR Present"
"29","941","1989-03-02","1","AR Present"
"30","948","1989-03-09","3","AR Present"
"31","1023","1989-10-23","2","AR Present"
"32","1057","1989-11-26","1","AR Present"
"33","1099","1990-01-07","3","AR Present"
"34","1104","1990-01-12","2","AR Present"
"35","1139","1990-02-16","1","AR -1 day"
"36","1206","1990-04-24","1","AR Present"
"37","1337","1991-02-02","1","AR Present"
"38","1364","1991-03-01","5","AR Present"
"39","1376","1991-03-13","1","AR +1 day"
"40","1387","1991-03-24","2","AR +1 day"
"41","1450","1991-10-26","2","AR Present"
"42","1464","1991-11-09","1","AR -1 day"
"43","1492","1991-12-07","1","AR Present"
"44","1513","1991-12-28","2","AR Present"
"45","1558","1992-02-11","2","AR Present"
"46","1561","1992-02-14","2","AR Present"
"47","1567","1992-02-20","1","AR Present"
"48","1583","1992-03-07","1","No AR"
"49","1666","1992-10-29","2","AR Present"
"50","1669","1992-11-01","1","AR Present"
"51","1705","1992-12-07","5","AR Present"
"52","1726","1992-12-28","2","AR Present"
"53","1729","1992-12-31","2","AR +1 day"
"54","1735","1993-01-06","2","AR Present"
"55","1742","1993-01-13","2","AR Present"
"56","1749","1993-01-20","3","AR Present"
"57","1768","1993-02-08","2","AR Present"
"58","1779","1993-02-19","1","AR Present"
"59","1805","1993-03-17","1","AR Present"
"60","1812","1993-03-24","2","AR -1 day"
"61","1865","1993-10-16","1","AR Present"
"62","1909","1993-11-29","1","AR -1 day"
"63","1918","1993-12-08","2","AR Present"
"64","1922","1993-12-12","2","AR Present"
"65","1978","1994-02-06","2","AR Present"
"66","1990","1994-02-18","2","AR Present"
"67","2097","1994-11-05","2","AR Present"
"68","2101","1994-11-09","1","AR +1 day"
"69","2109","1994-11-17","1","No AR"
"70","2118","1994-11-26","1","No AR"
"71","2125","1994-12-03","2","AR Present"
"72","2156","1995-01-03","13","AR Present"
"73","2175","1995-01-22","2","AR Present"
"74","2179","1995-01-26","2","AR Present"
"75","2197","1995-02-13","1","AR Present"
